Educational Asst, Special Ed, Male, Highly Qual;0;0;0;0;0;1;1;0;0;1
DayCare;0;0;0;0;0;0;0;1;0;1
Alternative Education;0;0;0;1;0;1;0;0;0;0
Art, General;0;0;0;1;0;0;0;0;0;0
Business Ed;0;0;0;1;0;0;0;0;0;0
Career Ed;0;0;0;1;0;0;0;0;0;0
Computer Education;0;0;0;1;0;0;0;0;0;0
Drama;0;0;0;1;0;0;0;0;0;0
Elementary/Pre-K;1;0;0;0;0;0;0;0;0;0
ELL-English for Speakers of Other Languages;0;1;0;0;0;0;0;0;0;0
Foreign Language;0;1;0;0;0;0;0;0;0;0
Health;0;0;0;1;0;0;0;0;0;0
Family Consumer Education;0;0;0;1;0;1;0;0;0;0
Industrial Arts;0;0;0;1;0;1;0;0;0;0
Journalism;0;0;0;1;0;0;0;0;0;0
Language Arts;0;0;0;1;0;0;0;0;0;0
Math, Advanced;0;0;0;1;0;0;0;0;0;0
Math, Basic;0;0;0;0;1;0;0;0;0;0
Media Specialist/Library;0;0;0;1;0;0;0;0;0;0
Music, General;0;1;0;0;0;0;0;0;0;0
Music, Instrumental;0;0;0;1;0;0;0;0;0;0
Music, Vocal;0;0;0;1;0;0;0;0;0;0
Personal Finance;0;0;0;1;0;0;0;0;0;0
Physical Ed;0;0;0;1;0;1;0;0;0;0
Reading;0;0;0;1;0;0;0;0;0;0
Resource Room;0;0;0;1;0;1;0;0;0;0
Roving Teacher;0;0;0;1;0;0;0;0;0;0
Science, Advanced;0;0;0;1;0;1;0;0;0;0
Science, General;0;0;0;1;0;1;0;0;0;0
Social Studies;0;0;0;1;0;0;0;0;0;0
Campus Safety Monitor;0;0;0;0;0;1;0;1;0;1
Special Education/Early Childhood;0;0;0;0;0;1;1;0;0;0
Special Education/Multihandicapped;0;0;0;0;0;1;1;0;0;0
Special Education/Social Emotional Development;0;0;0;0;0;1;1;0;0;0
Speech/Debate;0;0;0;1;0;0;0;0;0;0
TAG;0;0;0;1;0;0;0;0;0;0
Title 1;0;0;0;1;0;0;0;0;0;0
Tutoring;0;0;0;1;0;0;0;0;0;0
Elem 1st & 2nd Blend;1;1;0;0;0;0;0;0;0;0
Elem 2nd & 3rd Blend;1;1;0;0;0;0;0;0;0;0
Elem 3rd & 4th Blend;1;1;0;0;0;0;0;0;0;0
Elem 4th & 5th Blend;1;1;0;0;0;0;0;0;0;0
Elem 5th & 6th Blend;1;1;0;0;0;0;0;0;0;0
Elem K & 1st Blend;1;1;0;0;0;0;0;0;0;0
Elem K-3;1;1;0;0;0;0;0;0;0;0
Elem K-6;1;1;0;0;0;0;0;0;0;0
Elem/1st;1;1;0;0;0;0;0;0;0;0
Elem/2nd;1;1;0;0;0;0;0;0;0;0
Elem/3rd;1;1;0;0;0;0;0;0;0;0
Elem/4th;1;1;0;0;0;0;0;0;0;0
Elem/5th;1;1;0;0;0;0;0;0;0;0
Elem/6th;1;1;0;0;0;0;0;0;0;0
Elem/Kindergarten;1;1;0;0;0;0;0;0;0;0
Food Service;0;0;0;0;0;0;0;0;0;1
Instructional/IMC Aide;0;0;0;0;0;0;0;0;0;1
Licensed Practical Nurse;0;0;0;0;0;0;0;0;1;0
Media Specialist/Library Asst K-6;0;0;0;0;0;0;0;0;0;1
Media Specialist/Library Asst 6-8;0;0;0;0;0;0;0;0;0;1
Media Specialist/Library Asst 9-12;0;0;0;0;0;0;0;0;0;1
Noon Asst;0;0;0;0;0;1;0;0;0;1
PE Female;0;0;0;1;0;1;0;0;0;0
PE Female;0;0;0;0;1;1;0;0;0;0
PE Male;0;0;0;1;0;1;0;0;0;0
PE Male;0;0;0;0;1;1;0;0;0;0
Registered Nurse;0;0;0;0;0;0;0;0;1;0
Registered Nurse/Direct 1:1 Student Care;0;0;0;0;0;0;0;0;1;0
School Health Assistant;0;0;0;0;0;0;0;0;1;0
Secretary;0;0;0;0;0;1;0;0;0;1
Spanish/Bilingual;0;0;0;1;0;0;0;0;0;0
Speech/K-6;1;1;0;0;0;0;0;0;0;0
Technology Education;0;0;0;1;0;0;0;0;0;0
Technology Education;0;0;0;0;1;0;0;0;0;0
Ed Assist Female;0;0;0;0;0;0;0;0;0;1
Alternative Education;0;0;0;0;1;1;0;0;0;0
Art, General;0;0;0;0;1;0;0;0;0;0
Art, General;0;1;0;0;0;0;0;0;0;0
Business Education;0;0;0;0;1;0;0;0;0;0
Computer Education;0;0;0;0;1;0;0;0;0;0
Drama;0;0;0;0;1;0;0;0;0;0
Elementary 4-6;0;1;1;0;0;0;0;0;0;0
All Middle School Subjects;0;0;0;1;0;1;0;0;0;0
ELL-English for Speakers of Other Languages;0;0;0;1;0;0;0;0;0;0
ELL-English for Speakers of Other Languages;0;0;0;0;1;0;0;0;0;0
Foreign Language;0;0;0;1;0;0;0;0;0;0
Foreign Language;0;0;0;0;1;0;0;0;0;0
Health;0;0;0;0;1;0;0;0;0;0
Family Consumer Education;0;0;0;0;1;1;0;0;0;0
Industrial Arts;0;0;0;0;1;1;0;0;0;0
Journalism;0;0;0;0;1;0;0;0;0;0
Language Arts;0;0;0;0;1;0;0;0;0;0
Math, Advanced;0;0;0;0;1;0;0;0;0;0
Media Specialist/Library;0;0;0;0;1;0;0;0;0;0
Media Specialist/Library;0;1;0;0;0;0;0;0;0;0
Music, Instrumental;0;0;0;0;1;0;0;0;0;0
Music, Instrumental;0;1;0;0;0;0;0;0;0;0
Music, Vocal;0;0;0;0;1;0;0;0;0;0
Music, Vocal;0;1;0;0;0;0;0;0;0;0
Math, Basic;0;0;0;1;0;0;0;0;0;0
Personal Finance;0;0;0;0;1;0;0;0;0;0
Physical Ed;0;0;0;0;1;1;0;0;0;0
Physical Ed;0;1;0;0;0;1;0;0;0;0
Reading;0;0;0;0;1;0;0;0;0;0
Reading;0;1;0;0;0;0;0;0;0;0
Resource Room;0;0;0;0;1;1;0;0;0;0
Resource Room;0;1;0;0;0;1;0;0;0;0
Roving Teacher;0;0;0;0;1;0;0;0;0;0
Roving Teacher;0;1;0;0;0;0;0;0;0;0
Science, Advanced;0;0;0;0;1;1;0;0;0;0
Science, General;0;0;0;0;1;1;0;0;0;0
Social Studies;0;0;0;0;1;0;0;0;0;0
Speech/Debate;0;0;0;0;1;0;0;0;0;0
TAG;0;0;0;0;1;0;0;0;0;0
TAG;0;1;0;0;0;0;0;0;0;0
Title 1;0;0;0;0;1;0;0;0;0;0
Title 1;0;1;0;0;0;0;0;0;0;0
Tutoring;0;0;0;0;1;0;0;0;0;0
Tutoring;0;1;0;0;0;0;0;0;0;0
Career Education;0;0;0;0;1;0;0;0;0;0
Daycare;0;0;0;0;0;0;0;0;0;1
Classroom Assist;0;0;0;0;0;0;0;0;0;1
Classroom Asst Male;0;0;0;0;0;0;0;0;0;1
Ed Assist 1A;0;0;0;0;0;0;0;0;0;1
Ed Assist 1B;0;0;0;0;0;0;0;0;0;1
Ed Assist Male;0;0;0;0;0;0;0;0;0;1
Educational Asst, Special Ed, Female;0;0;0;0;0;1;1;0;0;1
Educational Asst, Special Ed, Male;0;0;0;0;0;1;1;0;0;1
Educational Asst, Special Ed, Female, Highly Qual;0;0;0;0;0;1;1;0;0;1
Educational Asst, Regular Class;0;0;0;0;0;1;0;0;0;1
All High School Subjects;0;0;0;0;1;1;0;0;0;0
Temporary Teacher;1;1;1;1;1;1;0;0;0;0
Spanish/Bilingual;1;1;0;0;0;0;0;0;0;0
Spanish/Bilingual;0;0;0;0;1;0;0;0;0;0
Educational Asst, Alt, Social Emotional;0;0;0;0;0;1;0;0;0;1
